ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity
eng,English,Indo-European,Europe,1.631698728,8.367746353,0.621808589,0.329251707,28,492481870,13989408.63,1
rus,Russian,Indo-European,Inner-Asia,1.980516195,10.08596134,0.424427211,0.453401357,28,135099940,8971106.442,1
spa,Spanish,Indo-European,Europe,1.738634586,8.857563019,0.172940388,0.439638436,27,327355040,7536876.619,1
por,Portuguese,Indo-European,Europe,1.773906946,9.119476318,0.048620224,0.453125,16,173000000,6871774.632,1
cmn,Mandarin Chinese,Sino-Tibetan,Southeast-Asia,2.606337547,,0.177581087,0.29871428,25,844355000,3259574.487,1
kaz,Kazakh,Altaic,Inner-Asia,1.79957509,11.35886288,,0,1,7621000,1834033.14,1
sah,Yakut,Altaic,Inner-Asia,,,,0.819999993,10,363000,1451253.268,1
khk,Halh Mongolian,Altaic,Inner-Asia,1.74146235,10.45107937,,0.516446233,27,2332660,1073064.918,1
mvf,Peripheral Mongolian,Altaic,Inner-Asia,,,0,1,4,3380000,991085.5113,0
som,Somali,Afro-Asiatic,Greater-Abyssinia,1.639873981,9.773780823,0.00579675,0.519736826,19,13742400,935426.8647,1
fra,French,Indo-European,Europe,1.699139118,9.093759537,0.668543875,0.434111714,26,65458630,915749.3821,1
afr,Afrikaans,Indo-European,S-Africa,1.614816427,8.157227516,0.587953568,0.125,4,4849900,804038.8526,1
pes,Western Farsi,Indo-European,Greater-Mesopotamia,1.888927341,9.284660339,,0.524175823,26,22472000,706337.8433,1
tsn,Tswana,Niger-Congo,S-Africa,1.54336834,7.879231453,0.574472487,1,2,4521700,671331.2406,1
khg,Khams Tibetan,Sino-Tibetan,Inner-Asia,,,0,1,2,1490000,631596.4361,0
taq,Tamasheq,Afro-Asiatic,African-Savannah,1.707990766,11.15120602,0,0.714285731,7,281200,626865.7677,0
tur,Turkish,Altaic,Greater-Mesopotamia,1.79901886,11.26269245,0.0053216,0.775484979,27,47644500,617473.0819,1
ukr,Ukrainian,Indo-European,Inner-Asia,2.013839722,9.949698448,,0.466666669,12,31651360,601515.1639,1
afb,Gulf Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.479999989,10,2339000,540557.9099,1
thv,Tahaggart Tamahaq,Afro-Asiatic,N-Africa,,,0,0.773809552,3.666666746,62000,531506.861,0
xal,Kalmyk-Oirat,Altaic,Inner-Asia,1.900686741,10.74299622,,0.833333313,7.5,499000,531229.4104,1
uig,Uyghur,Altaic,Inner-Asia,1.581583381,11.06291008,,0.795454562,11,8701000,506126.1197,1
dzg,Dazaga,Nilo-Saharan,African-Savannah,,,,0.545454562,11,381000,504454.6063,1
evn,Evenki,Altaic,Inner-Asia,,,0,0.747707248,27,27580,489069.3395,0
swe,Swedish,Indo-European,Europe,1.726292968,8.855244637,0.252219468,0.328947365,19,8236000,460057.3263,1
deu,Standard German,Indo-European,Europe,1.70421958,9.199252129,0.406856,0.397001773,27,83520790,452214.417,1
bod,Central Tibetan,Sino-Tibetan,Inner-Asia,,,,0.659807265,3,1269080,445099.2712,1
kor,Korean,Language-isolate,N-Coast-Asia,2.327800989,11.36707306,,0.459523797,25,65236300,419290.234,1
jpn,Japanese,Japonic,N-Coast-Asia,,,8.97E-05,0.474206358,27,121563000,370223.5846,1
hau,Hausa,Afro-Asiatic,African-Savannah,1.618493795,8.566011429,0.416007996,0.321896255,28,24060500,359262.5028,1
