wals code,name,value,description,latitude,longitude,genus,family,area
mar,Maricopa,4,Moderately high,33.16666667,-113.1666667,Yuman,Hokan,Phonology
mrd,Marind,3,Average,-7.833333333,140.1666667,Marind,Anim,Phonology
mrt,Martuthunira,5,High,-20.83333333,116.5,Western Pama-Nyungan,Pama-Nyungan,Phonology
mau,Maung,3,Average,-11.91666667,133.5,Iwaidjan,Iwaidjan,Phonology
max,Maxakalí,1,Low,-18,-40,Maxakalí,Macro-Ge,Phonology
may,Maybrat,2,Moderately low,-1.333333333,132.5,North-Central Bird's Head,West Papuan,Phonology
maz,Mazahua,5,High,19.41666667,-99.91666667,Otomian,Oto-Manguean,Phonology
mzc,Mazatec (Chiquihuitlán),3,Average,17.75,-96.91666667,Popolocan,Oto-Manguean,Phonology
mba,Mba,3,Average,1,25,Ubangi,Niger-Congo,Phonology
mbb,Mbabaram,4,Moderately high,-17.16666667,145,Northern Pama-Nyungan,Pama-Nyungan,Phonology
mei,Meithei,3,Average,24.75,94,Kuki-Chin,Sino-Tibetan,Phonology
mie,Mien,4,Moderately high,25,111,Hmong-Mien,Hmong-Mien,Phonology
hok,Min (Southern),3,Average,25,118,Chinese,Sino-Tibetan,Phonology
mss,Miwok (Southern Sierra),2,Moderately low,37.5,-120,Miwok,Penutian,Phonology
mtp,Mixe (Totontepec),1,Low,17.25,-96,Mixe-Zoque,Mixe-Zoque,Phonology
mxc,Mixtec (Chalcatongo),3,Average,17.05,-97.58333333,Mixtecan,Oto-Manguean,Phonology
mxm,Mixtec (Molinos),3,Average,17,-97.58333333,Mixtecan,Oto-Manguean,Phonology
mog,Moghol,4,Moderately high,35,62,Mongolic,Altaic,Phonology
mor,Mor,3,Average,-2.95,135.75,South Halmahera - West New Guinea,Austronesian,Phonology
mro,Moro,3,Average,11,30.16666667,Heiban,Kordofanian,Phonology
mov,Movima,3,Average,-13.83333333,-65.66666667,Movima,Movima,Phonology
mui,Muinane,3,Average,-1,-72.5,Boran,Huitotoan,Phonology
mum,Mumuye,3,Average,9,11.66666667,Mumuye-Yandang,Niger-Congo,Phonology
mun,Mundari,4,Moderately high,23,84.66666667,Munda,Austro-Asiatic,Phonology
mrl,Murle,2,Moderately low,6.5,33.5,Surmic,Eastern Sudanic,Phonology
mpa,Murrinh-Patha,4,Moderately high,-14.66666667,129.6666667,Murrinh-Patha,Southern Daly,Phonology
nhn,Nahuatl (North Puebla),3,Average,20,-98.25,Aztecan,Uto-Aztecan,Phonology
nht,Nahuatl (Tetelcingo),3,Average,19.66666667,-99,Aztecan,Uto-Aztecan,Phonology
kho,Nama,4,Moderately high,-25.5,18,Khoe-Kwadi,Khoe-Kwadi,Phonology
nmb,Nambikuára (Southern),4,Moderately high,-14,-59.5,Nambikuaran,Nambikuaran,Phonology
nai,Nanai,3,Average,49.5,137,Tungusic,Altaic,Phonology
nnc,Nancowry,2,Moderately low,8.05,93.5,Nicobarese,Austro-Asiatic,Phonology
nan,Nandi,1,Low,0.25,35,Nilotic,Eastern Sudanic,Phonology
nar,Nara (in Ethiopia),3,Average,15.08333333,37.58333333,Nara,Eastern Sudanic,Phonology
nas,Nasioi,1,Low,-6.333333333,155.5833333,East Bougainville,East Bougainville,Phonology
nbk,Natügu,3,Average,-10.78333333,165.8666667,Oceanic,Austronesian,Phonology
nav,Navajo,5,High,36.16666667,-108,Athapaskan,Na-Dene,Phonology
nax,Naxi,3,Average,27.5,100,Naxi,Sino-Tibetan,Phonology
ndt,Ndut,3,Average,14.91666667,-16.91666667,Cangin,Niger-Congo,Phonology
ndy,Ndyuka,3,Average,4.5,-54.5,Creoles and Pidgins,other,Phonology
ntu,Nenets,4,Moderately high,70,76,Samoyedic,Uralic,Phonology
nap,Neo-Aramaic (Persian Azerbaijan),4,Moderately high,38,47,Semitic,Afro-Asiatic,Phonology
nep,Nepali,4,Moderately high,28,85,Indic,Indo-European,Phonology
new,Newari (Kathmandu),4,Moderately high,27.66666667,85.5,Mahakiranti,Sino-Tibetan,Phonology
nez,Nez Perce,4,Moderately high,46,-116,Sahaptian,Penutian,Phonology
nga,Nganasan,2,Moderately low,71,93,Samoyedic,Uralic,Phonology
nti,Ngiti,4,Moderately high,1.333333333,30.25,Lendu,Central Sudanic,Phonology
ngi,Ngiyambaa,4,Moderately high,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
ngz,Ngizim,5,High,12.08333333,10.91666667,West Chadic,Afro-Asiatic,Phonology
nim,Nimboran,1,Low,-2.5,140.1666667,Nimboran,Nimboran,Phonology
chu,Nivacle,4,Moderately high,-23.5,-60.5,Matacoan,Matacoan,Phonology
niv,Nivkh,4,Moderately high,53.33333333,142,Nivkh,Nivkh,Phonology
nko,Nkore-Kiga,3,Average,-0.916666667,29.83333333,Bantoid,Niger-Congo,Phonology
nob,Nobiin,3,Average,21,31,Nubian,Eastern Sudanic,Phonology
non,Noni,2,Moderately low,6.416666667,10.58333333,Bantoid,Niger-Congo,Phonology
nor,Norwegian,2,Moderately low,61,8,Germanic,Indo-European,Phonology
nun,Nung (in Vietnam),3,Average,21.91666667,106.4166667,Kam-Tai,Tai-Kadai,Phonology
nug,Nunggubuyu,4,Moderately high,-13.75,135.6666667,Nunggubuyu,Gunwinyguan,Phonology
nuu,Nuuchahnulth,5,High,49.66666667,-126.6666667,Southern Wakashan,Wakashan,Phonology
nkt,Nyah Kur (Tha Pong),3,Average,15.66666667,101.6666667,Monic,Austro-Asiatic,Phonology
nyg,Nyangi,1,Low,3.416666667,33.58333333,Kuliak,Eastern Sudanic,Phonology
nyi,Nyimang,2,Moderately low,12.16666667,29.33333333,Nyimang,Eastern Sudanic,Phonology
nis,Nyishi,2,Moderately low,27.5,93.5,Tani,Sino-Tibetan,Phonology
ood,O'odham,3,Average,32,-112,Tepiman,Uto-Aztecan,Phonology
oca,Ocaina,4,Moderately high,-2.75,-71.75,Huitoto,Huitotoan,Phonology
ogb,Ogbia,2,Moderately low,4.666666667,6.25,Cross River,Niger-Congo,Phonology
oji,Ojibwa (Eastern),3,Average,46,-80,Algonquian,Algic,Phonology
ond,Oneida,2,Moderately low,43,-75.66666667,Northern Iroquoian,Iroquoian,Phonology
orm,Ormuri,3,Average,32.5,69.75,Iranian,Indo-European,Phonology
orh,Oromo (Harar),4,Moderately high,9,42,Lowland East Cushitic,Afro-Asiatic,Phonology
otm,Otomí (Mezquital),3,Average,20.16666667,-99.16666667,Otomian,Oto-Manguean,Phonology
pms,Paamese,3,Average,-16.5,168.25,Oceanic,Austronesian,Phonology
pac,Pacoh,1,Low,16.41666667,107.0833333,Katuic,Austro-Asiatic,Phonology
pai,Paiwan,4,Moderately high,22.5,120.8333333,Paiwan,Austronesian,Phonology
pnr,Panare,1,Low,6.5,-66,Cariban,Cariban,Phonology
puk,Parauk,3,Average,23.25,99.5,Palaungic,Austro-Asiatic,Phonology
psh,Pashto,4,Moderately high,33,67,Iranian,Indo-European,Phonology
psm,Passamaquoddy-Maliseet,3,Average,45,-67,Algonquian,Algic,Phonology
pau,Paumarí,5,High,-6,-64,Arauan,Arauan,Phonology
paw,Pawaian,2,Moderately low,-7,145.0833333,Pawaian,Teberan-Pawaian,Phonology
pec,Pech,3,Average,15,-85.5,Paya,Chibchan,Phonology
prs,Persian,3,Average,32,54,Iranian,Indo-European,Phonology
phl,Phlong,3,Average,15,99,Karen,Sino-Tibetan,Phonology
prh,Pirahã,2,Moderately low,-7,-62,Mura,Mura,Phonology
pit,Pitjantjatjara,4,Moderately high,-26,130,Western Pama-Nyungan,Pama-Nyungan,Phonology
poa,Po-Ai,1,Low,-20.66666667,164.8333333,Oceanic,Austronesian,Phonology
poh,Pohnpeian,1,Low,6.883333333,158.25,Oceanic,Austronesian,Phonology
pol,Polish,4,Moderately high,52,20,Slavic,Indo-European,Phonology
pso,Pomo (Southeastern),4,Moderately high,39,-122.5,Pomoan,Hokan,Phonology
pur,Purépecha,4,Moderately high,19.5,-101.6666667,Tarascan,Tarascan,Phonology
pae,Páez,5,High,2.666666667,-76,Páezan,Páezan,Phonology
bng,Qaget,3,Average,-4.583333333,152,Baining,Baining,Phonology
qaw,Qawasqar,5,High,-49,-75,Alacalufan,Alacalufan,Phonology
qco,Quechua (Cochabamba),4,Moderately high,-17.5,-66,Quechuan,Quechuan,Phonology
qui,Quileute,5,High,47.91666667,-124.25,Chimakuan,Chimakuan,Phonology
ram,Rama,4,Moderately high,11.75,-83.75,Rama,Chibchan,Phonology
rap,Rapanui,2,Moderately low,-27.11666667,-109.3666667,Oceanic,Austronesian,Phonology
res,Resígaro,4,Moderately high,-2.416666667,-71.5,Inland Northern Arawakan,Arawakan,Phonology
rom,Romanian,3,Average,46,25,Romance,Indo-European,Phonology
rsc,Romansch (Scharans),4,Moderately high,46.75,9.5,Romance,Indo-European,Phonology
ror,Roro,1,Low,-8.75,146.5833333,Oceanic,Austronesian,Phonology
rtk,Rotokas,1,Low,-6,155.1666667,West Bougainville,West Bougainville,Phonology
ruk,Rukai (Tanan),4,Moderately high,22.83333333,120.8333333,Rukai,Austronesian,Phonology
rus,Russian,5,High,56,38,Slavic,Indo-European,Phonology
rut,Rutul,5,High,41.5,47.41666667,Lezgic,Nakh-Daghestanian,Phonology
sab,Sa'ban,2,Moderately low,3.666666667,115.6666667,North Borneo,Austronesian,Phonology
scs,Saami (Central-South),5,High,64.66666667,16.75,Saami,Uralic,Phonology
sdw,Sandawe,5,High,-5,35,Sandawe,Sandawe,Phonology
san,Sango,3,Average,5,18,Ubangi,Niger-Congo,Phonology
snm,Sanuma,1,Low,4.5,-64.66666667,Yanomam,Yanomam,Phonology
svs,Savosavo,3,Average,-9.133333333,159.8,Savosavo,Solomons East Papuan,Phonology
seb,Sebei,2,Moderately low,1.333333333,34.58333333,Nilotic,Eastern Sudanic,Phonology
sed,Sedang,4,Moderately high,14.83333333,108,Bahnaric,Austro-Asiatic,Phonology
slp,Selepet,2,Moderately low,-6.166666667,147.1666667,Finisterre-Huon,Trans-New Guinea,Phonology
sel,Selknam,5,High,-53,-70,Chon Proper,Chon,Phonology
skp,Selkup,1,Low,65,82,Samoyedic,Uralic,Phonology
sml,Semelai,3,Average,3,103,Aslian,Austro-Asiatic,Phonology
snd,Senadi,3,Average,9.5,-6.25,Senufo,Niger-Congo,Phonology
snc,Seneca,1,Low,42.5,-77.5,Northern Iroquoian,Iroquoian,Phonology
snt,Sentani,1,Low,-2.583333333,140.5833333,Sentani,Sentani,Phonology
sha,Shan,3,Average,22,98,Kam-Tai,Tai-Kadai,Phonology
shs,Shasta,3,Average,41.83333333,-122.6666667,Shasta,Hokan,Phonology
shk,Shipibo-Konibo,3,Average,-7.5,-75,Panoan,Panoan,Phonology
shi,Shiriana,2,Moderately low,3.5,-62.83333333,Yanomam,Yanomam,Phonology
shu,Shuswap,4,Moderately high,52,-120,Interior Salish,Salishan,Phonology
sdh,Sindhi,4,Moderately high,26,69,Indic,Indo-European,Phonology
snh,Sinhala,3,Average,7,80.5,Indic,Indo-European,Phonology
sin,Siona,3,Average,0.333333333,-76.25,Tucanoan,Tucanoan,Phonology
srn,Sirionó,2,Moderately low,-15.58333333,-64,Tupi-Guaraní,Tupian,Phonology
sla,Slave,4,Moderately high,67,-125,Athapaskan,Na-Dene,Phonology
som,Somali,2,Moderately low,3,45,Lowland East Cushitic,Afro-Asiatic,Phonology
soq,Soqotri,4,Moderately high,12.5,54,Semitic,Afro-Asiatic,Phonology
sor,Sora,3,Average,20,84.33333333,Munda,Austro-Asiatic,Phonology
spa,Spanish,3,Average,40,-4,Romance,Indo-European,Phonology
squ,Squamish,5,High,49.66666667,-123.1666667,Central Salish,Salishan,Phonology
sre,Sre,3,Average,11.5,108,Bahnaric,Austro-Asiatic,Phonology
sue,Suena,2,Moderately low,-7.75,147.55,Binanderean,Trans-New Guinea,Phonology
sui,Sui,5,High,26,107.5,Kam-Tai,Tai-Kadai,Phonology
sup,Supyire,3,Average,11.5,-5.583333333,Senufo,Niger-Congo,Phonology
swa,Swahili,4,Moderately high,-6.5,39,Bantoid,Niger-Congo,Phonology
sba,Sáliba (in Colombia),3,Average,6,-70,Sáliba,Sáliban,Phonology
tab,Taba,3,Average,0,127.5,South Halmahera - West New Guinea,Austronesian,Phonology
tac,Tacana,4,Moderately high,-13.5,-68,Tacanan,Tacanan,Phonology
tag,Tagalog,3,Average,15,121,Greater Central Philippine,Austronesian,Phonology
tma,Tama,2,Moderately low,14.5,22,Taman,Eastern Sudanic,Phonology
tam,Tamang (Eastern),3,Average,27.5,85.66666667,Bodic,Sino-Tibetan,Phonology
tmp,Tampulma,2,Moderately low,10.41666667,-0.583333333,Southern-Central Gur,Niger-Congo,Phonology
tok,Tarok,3,Average,9,10.08333333,Platoid,Niger-Congo,Phonology
tas,Tashlhiyt,5,High,31,-5,Berber,Afro-Asiatic,Phonology
tsg,Tausug,4,Moderately high,6,121,Greater Central Philippine,Austronesian,Phonology
teh,Tehuelche,5,High,-48,-68,Chon Proper,Chon,Phonology
tks,Teke (Southern),3,Average,-2.333333333,14.5,Bantoid,Niger-Congo,Phonology
tel,Telugu,4,Moderately high,16,79,South-Central Dravidian,Dravidian,Phonology
tmn,Temein,2,Moderately low,11.91666667,29.41666667,Temein,Eastern Sudanic,Phonology
tne,Temne,2,Moderately low,8.666666667,-13.08333333,Mel,Niger-Congo,Phonology
ter,Tera,5,High,11,11.83333333,Biu-Mandara,Afro-Asiatic,Phonology
ttn,Tetun,2,Moderately low,-9,126,Central Malayo-Polynesian,Austronesian,Phonology
tha,Thai,2,Moderately low,16,101,Kam-Tai,Tai-Kadai,Phonology
tib,Tibetan (Standard Spoken),3,Average,30,91,Bodic,Sino-Tibetan,Phonology
tic,Ticuna,3,Average,-4,-70.5,Ticuna,Ticuna,Phonology
tgk,Tigak,2,Moderately low,-2.716666667,150.8,Oceanic,Austronesian,Phonology
tgr,Tigré,4,Moderately high,16.5,38.5,Semitic,Afro-Asiatic,Phonology
try,Tiruray,2,Moderately low,6.75,124.1666667,Bilic,Austronesian,Phonology
twn,Tiwa (Northern),3,Average,36.5,-105.5,Kiowa-Tanoan,Kiowa-Tanoan,Phonology
tiw,Tiwi,4,Moderately high,-11.5,131,Tiwian,Tiwian,Phonology
tli,Tlingit,5,High,59,-135,Tlingit,Na-Dene,Phonology
toa,Toaripi,1,Low,-8.333333333,146.25,Eleman Proper,Eleman,Phonology
tol,Tol,3,Average,14.66666667,-87,Tol,Tol,Phonology
ton,Tonkawa,3,Average,30.25,-96.75,Tonkawa,Tonkawa,Phonology
dts,Toro So,2,Moderately low,14.41666667,-3.25,Dogon,Dogon,Phonology
tpa,Totonac (Papantla),4,Moderately high,20.33333333,-97.33333333,Totonacan,Totonacan,Phonology
tru,Trumai,3,Average,-11.91666667,-53.58333333,Trumai,Trumai,Phonology
tsi,Tsimshian (Coast),5,High,52.5,-129,Tsimshianic,Penutian,Phonology
tso,Tsou,3,Average,23.5,120.75,Tsou,Austronesian,Phonology
ttu,Tsova-Tush,5,High,42.5,45.5,Nakh,Nakh-Daghestanian,Phonology
tug,Tuareg (Ahaggar),3,Average,23,6,Berber,Afro-Asiatic,Phonology
tuk,Tukang Besi,3,Average,-5.5,123.5,Celebic,Austronesian,Phonology
tul,Tulu,3,Average,12.75,75.33333333,Southern Dravidian,Dravidian,Phonology
tun,Tunica,2,Moderately low,32.66666667,-91,Tunica,Tunica,Phonology
tur,Turkish,3,Average,39,35,Turkic,Altaic,Phonology
tuv,Tuvan,2,Moderately low,52,95,Turkic,Altaic,Phonology
tza,Tzeltal (Aguacatenango),4,Moderately high,16.41666667,-92.5,Mayan,Mayan,Phonology
umb,UMbundu,3,Average,-12.5,15,Bantoid,Niger-Congo,Phonology
una,Una,2,Moderately low,-4.666666667,140,Mek,Trans-New Guinea,Phonology
ung,Ungarinjin,3,Average,-16.33333333,126,Worrorran,Worrorran,Phonology
urk,Urubú-Kaapor,2,Moderately low,-2.333333333,-46.5,Tupi-Guaraní,Tupian,Phonology
usa,Usan,2,Moderately low,-4.833333333,145.1666667,Madang,Trans-New Guinea,Phonology
uzn,Uzbek (Northern),3,Average,40.66666667,66.5,Turkic,Altaic,Phonology
vie,Vietnamese,1,Low,10.5,106.5,Viet-Muong,Austro-Asiatic,Phonology
wah,Wahgi,3,Average,-5.833333333,144.7166667,Chimbu,Trans-New Guinea,Phonology
bno,Waimaha,1,Low,0.333333333,-70.25,Tucanoan,Tucanoan,Phonology
wam,Wambaya,4,Moderately high,-18.66666667,135.75,Wambayan,Mirndi,Phonology
wnt,Wantoat,2,Moderately low,-6.166666667,146.5,Finisterre-Huon,Trans-New Guinea,Phonology
wao,Waorani,2,Moderately low,-1,-76.5,Waorani,Waorani,Phonology
wps,Wapishana,3,Average,2.666666667,-60,Wapishanan,Arawakan,Phonology
wap,Wappo,4,Moderately high,38.5,-122.5,Wappo,Wappo-Yukian,Phonology
wra,Warao,2,Moderately low,9.333333333,-61.66666667,Warao,Warao,Phonology
wry,Waray (in Australia),3,Average,-13.16666667,131.25,Warayic,Gunwinyguan,Phonology
wrd,Wardaman,3,Average,-15.5,131,Yangmanic,Yangmanic,Phonology
war,Wari',2,Moderately low,-11.33333333,-65,Chapacura-Wanham,Chapacura-Wanham,Phonology
wrs,Waris,1,Low,-3.166666667,141,Border,Border,Phonology
wma,West Makian,3,Average,0.5,127.5833333,North Halmaheran,West Papuan,Phonology
wdo,Western Desert (Ooldea),4,Moderately high,-30.5,132,Western Pama-Nyungan,Pama-Nyungan,Phonology
wic,Wichita,3,Average,33.33333333,-97.33333333,Caddoan,Caddoan,Phonology
wch,Wichí,3,Average,-22.5,-62.58333333,Matacoan,Matacoan,Phonology
wmu,Wik Munkan,2,Moderately low,-13.91666667,141.75,Northern Pama-Nyungan,Pama-Nyungan,Phonology
win,Wintu,4,Moderately high,41,-122.5,Wintuan,Penutian,Phonology
wiy,Wiyot,4,Moderately high,40.83333333,-124.1666667,Wiyot,Algic,Phonology
woi,Woisika,1,Low,-8.25,124.8333333,Greater Alor,Timor-Alor-Pantar,Phonology
wlf,Wolof,3,Average,15.25,-16,Wolof,Niger-Congo,Phonology
wuc,Wu,3,Average,31.66666667,119.9166667,Chinese,Sino-Tibetan,Phonology
ygr,Yagaria,3,Average,-6.333333333,145.4166667,Eastern Highlands,Trans-New Guinea,Phonology
yag,Yagua,1,Low,-3.5,-72,Peba-Yaguan,Peba-Yaguan,Phonology
ykt,Yakut,2,Moderately low,62,130,Turkic,Altaic,Phonology
yan,Yana,3,Average,40.5,-122,Yana,Hokan,Phonology
yny,Yanyuwa,5,High,-16.41666667,137.1666667,Western Pama-Nyungan,Pama-Nyungan,Phonology
yap,Yapese,3,Average,9.583333333,138.1666667,Yapese,Austronesian,Phonology
yaq,Yaqui,3,Average,27.5,-110.25,Cahita,Uto-Aztecan,Phonology
yar,Yareba,2,Moderately low,-9.5,148.5,Yareban,Yareban,Phonology
yaw,Yawa,3,Average,-1.75,136.25,Yawa,Yawa,Phonology
yay,Yay,3,Average,22.41666667,104.75,Kam-Tai,Tai-Kadai,Phonology
yel,Yelî Dnye,4,Moderately high,-11.36666667,154.1666667,Yele,Yele,Phonology
yes,Yessan-Mayo,3,Average,-4.166666667,142.5833333,Tama Sepik,Sepik,Phonology
yey,Yeyi,5,High,-20,23.5,Bantoid,Niger-Congo,Phonology
yid,Yidiny,3,Average,-17,145.75,Northern Pama-Nyungan,Pama-Nyungan,Phonology
yim,Yimas,4,Moderately high,-4.666666667,143.55,Lower Sepik,Lower Sepik-Ramu,Phonology
yor,Yoruba,2,Moderately low,8,4.333333333,Defoid,Niger-Congo,Phonology
yct,Yucatec,3,Average,20,-89,Mayan,Mayan,Phonology
yuc,Yuchi,4,Moderately high,35.75,-86.75,Yuchi,Yuchi,Phonology
ycn,Yucuna,3,Average,-0.75,-71,Inland Northern Arawakan,Arawakan,Phonology
yko,Yukaghir (Kolyma),3,Average,65.75,150.8333333,Yukaghir,Yukaghir,Phonology
ytu,Yukaghir (Tundra),3,Average,69,155,Yukaghir,Yukaghir,Phonology
yul,Yulu,4,Moderately high,8.5,25.25,Bongo-Bagirmi,Central Sudanic,Phonology
yus,Yupik (Siberian),5,High,65,-173,Eskimo,Eskimo-Aleut,Phonology
yur,Yurok,4,Moderately high,41.33333333,-124,Yurok,Algic,Phonology
zan,Zande,3,Average,4,26,Ubangi,Niger-Congo,Phonology
zqc,Zoque (Copainalá),2,Moderately low,17,-93.25,Mixe-Zoque,Mixe-Zoque,Phonology
zul,Zulu,5,High,-30,30,Bantoid,Niger-Congo,Phonology
zun,Zuni,3,Average,35.08333333,-108.8333333,Zuni,Zuni,Phonology
